Item,Qty.,Price (USD),Ext. (USD),Link
997-L1MCRGB2295MP0,36,$1.36,$48.96,https://mouser.com/c/?q=997-L1MCRGB2295MP0
81-GRM32EC72A106ME5K,11,$0.71,$7.85,https://mouser.com/c/?q=81-GRM32EC72A106ME5K
710-7447706101,11,$1.01,$11.11,https://mouser.com/c/?q=710-7447706101
71-WSLT2010R5000FEA1,11,$0.57,$6.28,https://mouser.com/c/?q=71-WSLT2010R5000FEA1
625-SS1H10-E3,11,$0.28,$3.11,https://mouser.com/c/?q=625-SS1H10-E3
621-AL8862SP-13,11,$0.54,$5.93,https://mouser.com/c/?q=621-AL8862SP-13
179-TB0012-508-04GR,2,$1.29,$2.58,https://mouser.com/c/?q=179-TB0012-508-04GR
179-TB0012-508-02GR,2,$0.69,$1.38,https://mouser.com/c/?q=179-TB0012-508-02GR
579-MCP4728-E/UN,1,$2.50,$2.50,https://mouser.com/c/?q=579-MCP4728-E/UN
713-102010428,1,$5.40,$5.40,https://mouser.com/c/?q=713-102010428
595-LMR51606XFQDBRQ1,1,$2.25,$2.25,https://mouser.com/c/?q=595-LMR51606XFQDBRQ1
179-TS046695BK100SMT,5,$0.16,$0.80,https://mouser.com/c/?q=179-TS046695BK100SMT
71-CRCW12104K70JNAIF,2,$0.58,$1.16,https://mouser.com/c/?q=71-CRCW12104K70JNAIF
71-CRMA1210AF100KFKF,1,$0.85,$0.85,https://mouser.com/c/?q=71-CRMA1210AF100KFKF
71-CRCW0402-19.1K-E3,1,$0.10,$0.10,https://mouser.com/c/?q=71-CRCW0402-19.1K-E3
71-CRCW0402-100K-E3,1,$0.10,$0.10,https://mouser.com/c/?q=71-CRCW0402-100K-E3
70-IFDC5050JZER470M,1,$0.96,$0.96,https://mouser.com/c/?q=70-IFDC5050JZER470M
637-1N4148W,5,$0.10,$0.50,https://mouser.com/c/?q=637-1N4148W
810-C3225X7R1H106MAC,2,$0.96,$1.92,https://mouser.com/c/?q=810-C3225X7R1H106MAC
81-GRM155R71C104KA88,2,$0.10,$0.20,https://mouser.com/c/?q=81-GRM155R71C104KA88
81-GRM188R72A104KA35,1,$0.15,$0.15,https://mouser.com/c/?q=81-GRM188R72A104KA35
581-KAM32LR72A475KU,1,$0.91,$0.91,https://mouser.com/c/?q=581-KAM32LR72A475KU
Aluminum Heatsink,10,$0.73,$7.33,https://www.aliexpress.com/item/4000723868050.html
0.96 Inch OLED Display,1,$2.60,$2.60,https://www.aliexpress.com/item/1005007614149117.html
M2 Heat Insert,16,$0.11,$1.73,https://www.aliexpress.com/item/1005003582355741.html
M2 Screw (10mm),16,$0.21,$3.40,https://www.aliexpress.com/item/1005005688616965.html
JLCPCB Control Board,1,$2.00,$2.00,https://www.jlcpcb.com
JLCPCB Light Board,1,$2.00,$2,https://www.jlcpcb.com
JLCPCB Light Board Stencil,1,$7.00,$7,https://www.jlcpcb.com
JLCPCB Shipping,1,$21.22,$21.22,https://www.jlcpcb.com
